Export RT-Kasse v4.2 | Rad & Tat GmbH | erstellt 2026-01-02 06:00 | alle Filialen
Belegnummer,Belegdatum,Filiale,Kategorie,Produkt,Menge,Umsatz,Kosten
B101412,2025-06-25,Hamburg,Zubehör,Lichtset LED,1,37.90,16.80
B101413,2025-06-25,Hamburg,Zubehör,Lichtset LED,2,75.81,33.60
B101414,2025-06-25,Hamburg,Zubehör,Helm Urban,3,227.72,114.00
B101415,2025-06-25,Hamburg,Bekleidung,Radhose,2,124.20,58.00
B101416,2025-06-25,Hamburg,Zubehör,Faltschloss,2,113.81,55.00
B101417,2025-06-25,Köln,Werkstatt,Schlauchwechsel,1,15.92,9.00
B101418,2025-06-25,Köln,Fahrräder,Kinderrad 20 Zoll,1,263.20,205.00
B101419,2025-06-25,Köln,fahrräder,Trekkingrad Tour,1,719.20,560.00
B101420,2025-06-25,Köln,Fahrräder,Stadtrad Classic,1,486.75,410.00
B101421,2025-06-25,München,Werkstatt,Schlauchwechsel,1,18.90,9.00
B101422,2025-06-25,München,E-Bikes,E-Bike City,1,2499.00,1690.00
B101423,2025-06-25,München,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B101424,2025-06-25,Leipzig,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B101425,2025-06-25,Leipzig ,Zubehör,Helm Urban,3,239.70,114.00
B101426,2025-06-26,Hamburg,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101427,2025-06-26,Hamburg,Bekleidung,Handschuhe,1,26.91,11.50
B101428,2025-06-26,Hamburg,Fahrräder,Stadtrad Classic,1,616.55,410.00
B101429,2025-06-26,Hamburg,Werkstatt,Schlauchwechsel,1,17.91,9.00
B101430,2025-06-26,Köln,Werkstatt,Inspektion Standard,1,75.65,52.00
B101431,2025-06-26,München  ,Zubehör,Luftpumpe,3,70.96,29.70
B101432,2025-06-26,München,Werkstatt,Inspektion Standard,1,86.33,52.00
B101433,2025-06-26,München,Fahrräder,Stadtrad Classic,1,584.10,410.00
B101434,2025-06-26,Leipzig,zubehör,Lichtset LED,3,116.11,50.40
B101435,2025-06-27,Köln,Zubehör,Lichtset LED,2,63.84,33.60
B101436,2025-06-27,Köln,Zubehör,Faltschloss,1,47.92,27.50
B101437,2025-06-27,Köln,bekleidung,Radhose,1,55.20,29.00
B101438,2025-06-27,München,Fahrräder,Stadtrad Classic,1,616.55,410.00
B101439,2025-06-27,München,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B101440,2025-06-27,München,Fahrräder,Stadtrad Classic,1,629.53,410.00
B101441,2025-06-27,München,Zubehör,Helm Urban,1,73.51,38.00
B101442,2025-06-27,Leipzig,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B101443,2025-06-27,Leipzig,Zubehör,Helm Urban,1,79.90,38.00
B101444,2025-06-27,Leipzig,Fahrräder,Stadtrad Classic,1,584.10,410.00
B101445,2025-06-28,Hamburg,Fahrräder,Stadtrad Classic,1,584.10,410.00
B101446,2025-06-28,Hamburg,Zubehör,Lichtset LED,3,113.71,50.40
B101447,2025-06-28,Hamburg,Werkstatt,Schlauchwechsel,1,18.90,9.00
B101448,2025-06-28,Köln,Werkstatt,Inspektion E-Bike,1,126.65,88.00
B101449,2025-06-28,Köln,Zubehör,Fahrradtasche,2,142.40,88.00
B101450,2025-06-28,Köln,Zubehör,Faltschloss,1,50.91,27.50
B101451,2025-06-28,Köln,Zubehör,Helm Urban,1,63.92,38.00
B101452,2025-06-28,Köln,Fahrräder,Trekkingrad Tour,1,674.25,560.00
B101453,2025-06-28,München ,Zubehör,Helm Urban,3,239.70,114.00
B101454,2025-06-28,München,Fahrräder,Kinderrad 20 Zoll,1,329.00,205.00
B101455,2025-06-28,München,Werkstatt,Schlauchwechsel,1,19.90,9.00
B101456,2025-06-28,München,Fahrräder,Kinderrad 20 Zoll,1,296.10,205.00
B101457,2025-06-28,Leipzig,Zubehör,Helm Urban,1,79.90,38.00
B101458,2025-06-28,Leipzig,Bekleidung,Regenjacke,1,129.00,61.00
B101459,2025-06-30,Hamburg,Fahrräder,Stadtrad Classic,1,616.55,410.00
B101460,2025-06-30,Hamburg,Zubehör,Faltschloss,1,53.91,27.50
B101461,2025-06-30,Hamburg,Fahrräder,Stadtrad Classic,1,649.00,410.00
B101462,2025-06-30,Köln,Werkstatt,Schlauchwechsel,1,15.92,9.00
B101463,2025-06-30,München,Zubehör,Luftpumpe,2,48.31,19.80
B101464,2025-06-30,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B101465,2025-06-30,München,E-Bikes,E-Bike City,1,2499.00,1690.00
B101466,2025-06-30,Leipzig,Bekleidung,Regenjacke,2,237.36,122.00
B101467,2025-06-30,Leipzig,Zubehör,Luftpumpe,2,49.80,19.80
B101468,2025-07-01,Hamburg,Fahrräder,Gravelbike Kies,1,1234.05,830.00
B101469,2025-07-01,Hamburg,Werkstatt,Inspektion Standard,1,86.33,52.00
B101470,2025-07-01,Hamburg,Zubehör,Luftpumpe,1,24.15,9.90
B101471,2025-07-01,Hamburg,Zubehör,Faltschloss,1,53.91,27.50
B101472,2025-07-01,Köln,Fahrräder,Kinderrad 20 Zoll,1,263.20,205.00
B101473,2025-07-01,Köln,E-Bikes,E-Lastenrad,1,3742.50,3490.00
B101474,2025-07-01,Köln,E-Bikes,E-Bike Trekking,1,2399.25,2170.00
B101475,2025-07-01,München,Zubehör,Helm Urban,1,71.91,38.00
B101476,2025-07-01,München,e-bikes,E-Bike Trekking,1,3039.05,2170.00
B101477,2025-07-01,Leipzig,E-Bikes,E-Bike City,1,2249.10,1690.00
B101478,2025-07-01,Leipzig,Zubehör,Faltschloss,1,56.90,27.50
B101479,2025-07-02,Hamburg,Zubehör,Helm Urban,2,151.81,76.00
B101480,2025-07-02,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B101481,2025-07-02,Köln,Bekleidung,Radhose,2,103.50,58.00
B101482,2025-07-02,Köln,Werkstatt,Schlauchwechsel,1,15.92,9.00
B101483,2025-07-02,Köln,Bekleidung,Handschuhe,2,44.85,23.00
B101484,2025-07-02,München ,Werkstatt,Schlauchwechsel,1,19.90,9.00
B101485,2025-07-02,München,Bekleidung,Regenjacke,1,129.00,61.00
B101486,2025-07-02,München,zubehör,Luftpumpe,3,74.70,29.70
B101487,2025-07-02,München,Fahrräder,Gravelbike Kies,1,1299.00,830.00
B101488,2025-07-02,München,Zubehör,Fahrradtasche,1,89.00,44.00
B101489,2025-07-02,München,Zubehör,Helm Urban,3,239.70,114.00
B101490,2025-07-02,München,Werkstatt,Inspektion Standard,1,84.55,52.00
B101491,2025-07-02,Leipzig,bekleidung,Handschuhe,1,28.40,11.50
B101492,2025-07-03,Hamburg,Werkstatt,Schlauchwechsel,1,19.90,9.00
B101493,2025-07-03,Hamburg ,Zubehör,Lichtset LED,3,116.11,50.40
B101494,2025-07-03,Hamburg,Zubehör,Luftpumpe,2,49.80,19.80
B101495,2025-07-03,Köln,Werkstatt,Schlauchwechsel,1,15.92,9.00
B101496,2025-07-03,Köln,Zubehör,Luftpumpe,1,19.92,9.90
B101497,2025-07-03,München,Zubehör,Luftpumpe,1,22.41,9.90
B101498,2025-07-03,München,Bekleidung,Radhose,1,69.00,29.00
B101499,2025-07-03,München,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B101500,2025-07-03,München,Zubehör,Helm Urban,2,155.01,76.00
B101501,2025-07-03,München,Zubehör,Lichtset LED,2,79.80,33.60
B101502,2025-07-03,Leipzig,Zubehör,Helm Urban,2,159.80,76.00
B101503,2025-07-04,Hamburg,Fahrräder,Gravelbike Kies,1,1169.10,830.00
B101504,2025-07-04,Hamburg,Zubehör,Fahrradtasche,1,80.10,44.00
B101505,2025-07-04,Köln,Fahrräder,Stadtrad Classic,1,486.75,410.00
B101506,2025-07-04,Köln,zubehör,Lichtset LED,3,95.76,50.40
B101507,2025-07-04,München,Fahrräder,Stadtrad Classic,1,616.55,410.00
B101508,2025-07-04,München,Zubehör,Fahrradtasche,1,80.10,44.00
B101509,2025-07-04,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B101510,2025-07-04,München,Zubehör,Helm Urban,1,75.91,38.00
B101511,2025-07-04,Leipzig,Werkstatt,Schlauchwechsel,1,17.91,9.00
B101512,2025-07-04,Leipzig,Zubehör,Lichtset LED,3,113.71,50.40
B101513,2025-07-05,Hamburg,E-Bikes,E-Lastenrad,1,4491.00,3490.00
B101514,2025-07-05,Hamburg,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101515,2025-07-05,Köln,Zubehör,Lichtset LED,2,63.84,33.60
B101516,2025-07-05,Köln,E-Bikes,E-Bike Trekking,1,2719.15,2170.00
B101517,2025-07-05,Köln,E-Bikes,E-Bike City,1,2124.15,1690.00
B101518,2025-07-05,Köln,Fahrräder,Stadtrad Classic,1,551.65,410.00
B101519,2025-07-05,Köln,E-Bikes,E-Bike City,1,2124.15,1690.00
B101520,2025-07-05,München  ,Zubehör,Fahrradtasche,3,267.00,132.00
B101521,2025-07-05,München,Zubehör,Faltschloss,3,170.71,82.50
B101522,2025-07-05,München,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B101523,2025-07-05,München ,Bekleidung,Regenjacke,2,245.10,122.00
B101524,2025-07-05,München,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101525,2025-07-05,Leipzig  ,Werkstatt,Schlauchwechsel,1,19.90,9.00
B101526,2025-07-05,Leipzig,Zubehör,Luftpumpe,2,48.31,19.80
B101527,2025-07-07,Hamburg,zubehör,Lichtset LED,2,77.41,33.60
B101528,2025-07-07,Hamburg,zubehör,Lichtset LED,1,35.91,16.80
B101529,2025-07-07,Köln,Werkstatt,Inspektion E-Bike,1,119.20,88.00
B101530,2025-07-07,Köln,Zubehör,Lichtset LED,1,31.92,16.80
B101531,2025-07-07,Köln,Zubehör,Fahrradtasche,3,200.25,132.00
B101532,2025-07-07,Köln,Zubehör,Lichtset LED,1,33.91,16.80
B101533,2025-07-07,München  ,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B101534,2025-07-07,München,Zubehör,Helm Urban,1,71.91,38.00
B101535,2025-07-07,München,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B101536,2025-07-07,München,Zubehör,Lichtset LED,1,38.70,16.80
B101537,2025-07-07,München,Zubehör,Helm Urban,3,220.52,114.00
B101538,2025-07-07,München,Bekleidung,Regenjacke,1,118.68,61.00
B101539,2025-07-07,München,Werkstatt,Inspektion Standard,1,86.33,52.00
B101540,2025-07-07,Leipzig,Bekleidung,Handschuhe,2,56.81,23.00
B101541,2025-07-07,Leipzig,Zubehör,Luftpumpe,3,67.23,29.70
B101542,2025-07-07,Leipzig,Zubehör,Faltschloss,1,58.10,27.50
B101543,2025-07-08,Hamburg,Werkstatt,Schlauchwechsel,1,17.91,9.00
B101544,2025-07-08,Hamburg,Zubehör,Fahrradtasche,3,253.65,132.00
B101545,2025-07-08,Hamburg,Fahrräder,Kinderrad 20 Zoll,1,312.55,205.00
B101546,2025-07-08,Hamburg,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101547,2025-07-08,Hamburg,Bekleidung,Handschuhe,1,27.51,11.50
B101548,2025-07-08,Hamburg,Zubehör,Fahrradtasche,2,178.00,88.00
B101549,2025-07-08,Hamburg,Zubehör,Lichtset LED,1,35.91,16.80
B101550,2025-07-08,Köln,Werkstatt,Inspektion Standard,1,66.75,52.00
B101551,2025-07-08,Köln,E-Bikes,E-Bike Trekking,1,2719.15,2170.00
B101552,2025-07-08,München,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101553,2025-07-08,Leipzig,Werkstatt,Inspektion Standard,1,81.88,52.00
B101554,2025-07-08,Leipzig,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B101555,2025-07-08,Leipzig,Zubehör,Helm Urban,2,155.01,76.00
B101556,2025-07-09,Hamburg ,Zubehör,Helm Urban,2,159.80,76.00
B101557,2025-07-09,Hamburg,Werkstatt,Schlauchwechsel,1,19.30,9.00
B101558,2025-07-09,Hamburg,Werkstatt,Inspektion Standard,1,80.10,52.00
B101559,2025-07-09,Hamburg,Zubehör,Lichtset LED,3,119.70,50.40
B101560,2025-07-09,Köln,Fahrräder,Kinderrad 20 Zoll,1,263.20,205.00
B101561,2025-07-09,Köln ,Zubehör,Helm Urban,2,119.85,76.00
B101562,2025-07-09,München,Zubehör,Luftpumpe,1,24.90,9.90
B101563,2025-07-10,Hamburg,werkstatt,Inspektion Standard,1,84.55,52.00
B101564,2025-07-10,Hamburg,E-Bikes,E-Bike City,1,2249.10,1690.00
B101565,2025-07-10,Hamburg,werkstatt,Inspektion E-Bike,1,149.00,88.00
B101566,2025-07-10,Köln,Bekleidung,Regenjacke,2,193.50,122.00
B101567,2025-07-10,Köln,Zubehör,Helm Urban,1,63.92,38.00
B101568,2025-07-10,München,Zubehör,Faltschloss,3,179.70,82.50
B101569,2025-07-10,München,Zubehör,Helm Urban,1,75.91,38.00
B101570,2025-07-11,Hamburg,Zubehör,Faltschloss,1,56.90,27.50
B101571,2025-07-11,Köln,Zubehör,Faltschloss,1,47.92,27.50
B101572,2025-07-11,Köln,Fahrräder,Kinderrad 20 Zoll,1,263.20,205.00
B101573,2025-07-11,Köln,E-Bikes,E-Bike Trekking,1,2719.15,2170.00
B101574,2025-07-11,Köln,Bekleidung,Handschuhe,1,23.92,11.50
B101575,2025-07-11,München,E-Bikes,E-Bike City,1,2374.05,1690.00
B101576,2025-07-11,München,Werkstatt,Inspektion E-Bike,1,137.08,88.00
B101577,2025-07-11,München,bekleidung,Handschuhe,1,29.90,11.50
B101578,2025-07-11,Leipzig,Zubehör,Helm Urban,1,71.91,38.00
B101579,2025-07-11,Leipzig ,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B101580,2025-07-12,Hamburg,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B101581,2025-07-12,Hamburg,E-Bikes,E-Lastenrad,1,4740.50,3490.00
B101582,2025-07-12,Hamburg,E-Bikes,E-Bike City,1,2299.08,1690.00
B101583,2025-07-12,Hamburg,Zubehör,Faltschloss,1,56.90,27.50
B101584,2025-07-12,Köln,Zubehör,Helm Urban,2,135.83,76.00
B101585,2025-07-12,Köln,zubehör,Helm Urban,1,67.92,38.00
B101586,2025-07-12,Köln ,E-Bikes,E-Bike Trekking,1,2399.25,2170.00
B101587,2025-07-12,Köln,Zubehör,Luftpumpe,1,19.92,9.90
B101588,2025-07-12,Köln,Fahrräder,Gravelbike Kies,1,1104.15,830.00
B101589,2025-07-12,Köln,Werkstatt,Inspektion Standard,1,66.75,52.00
B101590,2025-07-12,Köln,Fahrräder,Kinderrad 20 Zoll,1,263.20,205.00
B101591,2025-07-12,München,Zubehör,Luftpumpe,1,22.41,9.90
B101592,2025-07-12,München,Fahrräder,Gravelbike Kies,1,1234.05,830.00
B101593,2025-07-12,München,Zubehör,Lichtset LED,1,35.91,16.80
B101594,2025-07-12,München,Zubehör,Faltschloss,2,107.82,55.00
B101595,2025-07-12,München,Zubehör,Helm Urban,1,79.90,38.00
B101596,2025-07-12,München,Zubehör,Lichtset LED,3,119.70,50.40
B101597,2025-07-12,Leipzig,Bekleidung,Regenjacke,2,245.10,122.00
B101598,2025-07-12,Leipzig,Zubehör,Helm Urban,3,232.51,114.00
B101599,2025-07-14,Hamburg,Zubehör,Helm Urban,1,71.91,38.00
B101600,2025-07-14,Hamburg,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101601,2025-07-14,Köln,Bekleidung,Radhose,2,110.40,58.00
B101602,2025-07-14,Köln,Zubehör,Helm Urban,2,135.83,76.00
B101603,2025-07-14,Köln,Fahrräder,Kinderrad 20 Zoll,1,279.65,205.00
B101604,2025-07-14,Köln,Zubehör,Faltschloss,1,44.92,27.50
B101605,2025-07-14,München ,Zubehör,Helm Urban,2,159.80,76.00
B101606,2025-07-14,München,Bekleidung,Handschuhe,2,56.81,23.00
B101607,2025-07-14,München,Zubehör,Helm Urban,1,75.91,38.00
B101608,2025-07-14,Leipzig ,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B101609,2025-07-14,Leipzig,Zubehör,Lichtset LED,2,79.80,33.60
B101610,2025-07-14,Leipzig,Zubehör,Faltschloss,2,119.80,55.00
B101611,2025-07-14,Leipzig,Zubehör,Fahrradtasche,1,84.55,44.00
B101612,2025-07-15,Köln,Werkstatt,Inspektion Standard,1,71.20,52.00
B101613,2025-07-15,Köln,bekleidung,Regenjacke,2,206.40,122.00
B101614,2025-07-15,Köln,Zubehör,Lichtset LED,1,31.92,16.80
B101615,2025-07-15,Köln ,Werkstatt,Inspektion Standard,1,75.65,52.00
B101616,2025-07-15,München,Zubehör,Luftpumpe,1,24.15,9.90
B101617,2025-07-15,München,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B101618,2025-07-15,München,Zubehör,Helm Urban,3,239.70,114.00
B101619,2025-07-15,Leipzig,Zubehör,Faltschloss,2,113.81,55.00
B101620,2025-07-15,Leipzig,Fahrräder,Kinderrad 20 Zoll,1,302.68,205.00
B101621,2025-07-16,Hamburg,Zubehör,Luftpumpe,2,49.80,19.80
B101622,2025-07-16,Hamburg,Zubehör,Lichtset LED,3,107.73,50.40
B101623,2025-07-16,Hamburg,Fahrräder,Kinderrad 20 Zoll,1,296.10,205.00
B101624,2025-07-16,Hamburg,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B101625,2025-07-16,Hamburg  ,Zubehör,Faltschloss,2,116.21,55.00
B101626,2025-07-16,Köln,Fahrräder,Stadtrad Classic,1,486.75,410.00
B101627,2025-07-16,Köln,Werkstatt,Schlauchwechsel,1,15.92,9.00
B101628,2025-07-16,Köln,Werkstatt,Schlauchwechsel,1,16.91,9.00
B101629,2025-07-16,München,Fahrräder,Stadtrad Classic,1,584.10,410.00
B101630,2025-07-16,München,Zubehör,Fahrradtasche,3,267.00,132.00
B101631,2025-07-16,Leipzig,Bekleidung,Radhose,2,131.10,58.00
B101632,2025-07-16,Leipzig,bekleidung,Radhose,1,65.55,29.00
B101633,2025-07-17,Hamburg,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B101634,2025-07-17,Hamburg,Zubehör,Helm Urban,1,79.90,38.00
B101635,2025-07-17,Hamburg  ,Zubehör,Lichtset LED,3,113.71,50.40
B101636,2025-07-17,Hamburg,Bekleidung,Handschuhe,1,26.91,11.50
B101637,2025-07-17,Köln ,Bekleidung,Handschuhe,2,44.85,23.00
B101638,2025-07-17,Köln,Fahrräder,Stadtrad Classic,1,551.65,410.00
B101639,2025-07-17,Köln,Werkstatt,Inspektion Standard,1,66.75,52.00
B101640,2025-07-17,München,Werkstatt,Inspektion Standard,1,81.88,52.00
B101641,2025-07-17,München  ,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B101642,2025-07-17,München,Bekleidung,Handschuhe,2,53.82,23.00
B101643,2025-07-17,Leipzig,Bekleidung,Radhose,2,124.20,58.00
B101644,2025-07-18,Hamburg,Bekleidung,Radhose,2,124.20,58.00
B101645,2025-07-18,Köln,werkstatt,Inspektion Standard,1,75.65,52.00
B101646,2025-07-18,Köln,E-Bikes,E-Bike Trekking,1,2719.15,2170.00
B101647,2025-07-18,Köln  ,Bekleidung,Handschuhe,1,23.92,11.50
B101648,2025-07-18,München,Fahrräder,Stadtrad Classic,1,584.10,410.00
B101649,2025-07-18,München,Zubehör,Faltschloss,1,56.90,27.50
B101650,2025-07-18,München,werkstatt,Schlauchwechsel,1,19.90,9.00
B101651,2025-07-18,München,Zubehör,Luftpumpe,3,74.70,29.70
B101652,2025-07-18,Leipzig,Bekleidung,Handschuhe,2,59.80,23.00
B101653,2025-07-18,Leipzig,E-Bikes,E-Bike City,1,2249.10,1690.00
B101654,2025-07-19,Hamburg,Zubehör,Lichtset LED,1,35.91,16.80
B101655,2025-07-19,Hamburg ,Zubehör,Helm Urban,1,75.91,38.00
B101656,2025-07-19,Hamburg,Bekleidung,Radhose,2,124.20,58.00
B101657,2025-07-19,Köln,Zubehör,Helm Urban,2,119.85,76.00
B101658,2025-07-19,Köln,Werkstatt,Inspektion E-Bike,1,119.20,88.00
B101659,2025-07-19,München,Bekleidung,Handschuhe,1,26.91,11.50
B101660,2025-07-19,München,Fahrräder,Trekkingrad Tour,1,872.03,560.00
B101661,2025-07-19,München,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101662,2025-07-19,München,Werkstatt,Schlauchwechsel,1,19.30,9.00
B101663,2025-07-19,München,Zubehör,Lichtset LED,1,37.90,16.80
B101664,2025-07-19,Leipzig,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B101665,2025-07-21,Hamburg,Zubehör,Lichtset LED,2,71.82,33.60
B101666,2025-07-21,Hamburg,Zubehör,Lichtset LED,2,75.81,33.60
B101667,2025-07-21,Hamburg,Zubehör,Luftpumpe,1,24.90,9.90
B101668,2025-07-21,Köln,Zubehör,Lichtset LED,2,67.83,33.60
B101669,2025-07-21,Köln,Zubehör,Faltschloss,1,47.92,27.50
B101670,2025-07-21,München,E-Bikes,E-Bike Trekking,1,3103.03,2170.00
B101671,2025-07-21,München,Bekleidung,Handschuhe,2,59.80,23.00
B101672,2025-07-21,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B101673,2025-07-21,München,Zubehör,Fahrradtasche,2,169.10,88.00
B101674,2025-07-21,München,Zubehör,Helm Urban,1,75.91,38.00
B101675,2025-07-21,München ,Werkstatt,Inspektion Standard,1,89.00,52.00
B101676,2025-07-21,München,zubehör,Faltschloss,3,170.71,82.50
B101677,2025-07-21,Leipzig,Werkstatt,Schlauchwechsel,1,17.91,9.00
B101678,2025-07-22,Hamburg,Zubehör,Faltschloss,2,107.82,55.00
B101679,2025-07-22,Hamburg,Werkstatt,Inspektion Standard,1,89.00,52.00
B101680,2025-07-22,Hamburg  ,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B101681,2025-07-22,Hamburg,E-Bikes,E-Lastenrad,1,4491.00,3490.00
B101682,2025-07-22,Köln,Zubehör,Helm Urban,1,63.92,38.00
B101683,2025-07-22,Köln,Fahrräder,Kinderrad 20 Zoll,1,263.20,205.00
B101684,2025-07-22,Köln,Fahrräder,Gravelbike Kies,1,1039.20,830.00
B101685,2025-07-22,München,zubehör,Faltschloss,2,113.81,55.00
B101686,2025-07-22,München,Zubehör,Lichtset LED,1,39.90,16.80
B101687,2025-07-22,München,Zubehör,Fahrradtasche,3,240.30,132.00
B101688,2025-07-22,München,Zubehör,Fahrradtasche,1,86.33,44.00
B101689,2025-07-22,Leipzig,Zubehör,Luftpumpe,1,22.41,9.90
B101690,2025-07-22,Leipzig,Werkstatt,Schlauchwechsel,1,19.90,9.00
B101691,2025-07-22,Leipzig,Zubehör,Luftpumpe,1,23.65,9.90
B101692,2025-07-22,Leipzig,Werkstatt,Schlauchwechsel,1,19.90,9.00
B101693,2025-07-23,Hamburg,Fahrräder,Stadtrad Classic,1,616.55,410.00
B101694,2025-07-23,Köln,Fahrräder,Kinderrad 20 Zoll,1,263.20,205.00
B101695,2025-07-23,Köln,Zubehör,Fahrradtasche,3,226.95,132.00
B101696,2025-07-23,Köln,Bekleidung,Regenjacke,1,103.20,61.00
B101697,2025-07-23,München,Zubehör,Helm Urban,1,75.91,38.00
B101698,2025-07-23,München,Bekleidung,Radhose,2,131.10,58.00
B101699,2025-07-23,München,Zubehör,Lichtset LED,3,119.70,50.40
B101700,2025-07-23,Leipzig,fahrräder,Trekkingrad Tour,1,899.00,560.00
B101701,2025-07-23,Leipzig,Bekleidung,Handschuhe,1,28.40,11.50
B101702,2025-07-24,Hamburg,Werkstatt,Schlauchwechsel,1,17.91,9.00
B101703,2025-07-24,Hamburg,Bekleidung,Regenjacke,2,245.10,122.00
B101704,2025-07-24,Hamburg,bekleidung,Handschuhe,1,29.00,11.50
B101705,2025-07-24,Hamburg,Werkstatt,Inspektion Standard,1,84.55,52.00
B101706,2025-07-24,Köln,Bekleidung,Handschuhe,1,22.42,11.50
B101707,2025-07-24,Köln,Zubehör,Fahrradtasche,3,200.25,132.00
B101708,2025-07-24,München,Fahrräder,Gravelbike Kies,1,1299.00,830.00
B101709,2025-07-24,München,Werkstatt,Inspektion Standard,1,80.10,52.00
B101710,2025-07-24,München,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101711,2025-07-24,München,Bekleidung,Regenjacke,2,258.00,122.00
B101712,2025-07-24,Leipzig,Werkstatt,Inspektion Standard,1,80.10,52.00
B101713,2025-07-24,Leipzig,Zubehör,Faltschloss,2,116.21,55.00
B101714,2025-07-24,Leipzig,Zubehör,Faltschloss,1,56.90,27.50
B101715,2025-07-25,Hamburg,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B101716,2025-07-25,Hamburg,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B101717,2025-07-25,Hamburg,Bekleidung,Handschuhe,2,56.81,23.00
B101718,2025-07-25,Hamburg,Zubehör,Luftpumpe,2,44.82,19.80
B101719,2025-07-25,Köln  ,Zubehör,Fahrradtasche,2,133.50,88.00
B101720,2025-07-25,Köln,E-Bikes,E-Bike Trekking,1,2559.20,2170.00
B101721,2025-07-25,Köln,Zubehör,Luftpumpe,3,59.76,29.70
B101722,2025-07-26,Hamburg,Zubehör,Faltschloss,3,170.71,82.50
B101723,2025-07-26,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B101724,2025-07-26,Hamburg,Zubehör,Lichtset LED,2,79.80,33.60
B101725,2025-07-26,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B101726,2025-07-26,Hamburg,Fahrräder,Kinderrad 20 Zoll,1,296.10,205.00
B101727,2025-07-26,Köln,Fahrräder,Stadtrad Classic,1,486.75,410.00
B101728,2025-07-26,Köln  ,Zubehör,Faltschloss,3,152.74,82.50
B101729,2025-07-26,Köln,Fahrräder,Stadtrad Classic,1,486.75,410.00
B101730,2025-07-26,München,E-Bikes,E-Bike Trekking,1,2879.10,2170.00
B101731,2025-07-26,München,E-Bikes,E-Bike City,1,2499.00,1690.00
B101732,2025-07-26,München,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B101733,2025-07-26,München,Fahrräder,Stadtrad Classic,1,616.55,410.00
B101734,2025-07-26,München,Zubehör,Fahrradtasche,1,86.33,44.00
,,,,,,,
B101735,2025-07-26,München,Zubehör,Luftpumpe,2,45.82,19.80
B101736,2025-07-28,Hamburg,Zubehör,Fahrradtasche,2,160.20,88.00
B101737,2025-07-28,Hamburg,E-Bikes,E-Bike City,1,2249.10,1690.00
B101738,2025-07-28,Köln,Zubehör,Faltschloss,1,47.92,27.50
B101739,2025-07-28,Köln,Werkstatt,Schlauchwechsel,1,14.92,9.00
B101740,2025-07-28,Köln,Zubehör,Luftpumpe,2,37.35,19.80
B101741,2025-07-28,München,Zubehör,Luftpumpe,2,47.31,19.80
B101742,2025-07-28,München,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B101743,2025-07-28,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B101744,2025-07-28,Leipzig,E-Bikes,E-Lastenrad,1,4590.80,3490.00
B101745,2025-07-28,Leipzig  ,Zubehör,Lichtset LED,1,37.90,16.80
B101746,2025-07-28,Leipzig ,Fahrräder,Stadtrad Classic,1,616.55,410.00
B101747,2025-07-29,Hamburg,Bekleidung,Radhose,1,62.10,29.00
B101748,2025-07-29,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B101749,2025-07-29,Köln,Fahrräder,Trekkingrad Tour,1,764.15,560.00
B101750,2025-07-29,Köln,Zubehör,Helm Urban,1,67.92,38.00
B101751,2025-07-29,Köln,Zubehör,Faltschloss,1,47.92,27.50
B101752,2025-07-29,München,Fahrräder,Stadtrad Classic,1,649.00,410.00
